FID,YEAR,MONTH,DAY,AD_TIME,BTID,NAME,LAT,LONG,WIND_KTS,PRESSURE,CAT,BASIN,Shape_Leng
40907,1950,10,15,1200Z,781,JIG,33.2,-59.2,100,0,H3,North Atlantic,1.4142139999999999
29651,1950,8,21,1800Z,773,BAKER,16.6,-60.7,100,0,H3,North Atlantic,0.608276
40910,1950,10,15,1800Z,781,JIG,34.2,-58.2,105,0,H3,North Atlantic,1.3453620000000002
40471,1950,9,15,0000Z,777,FOX,25.5,-59.7,120,0,H4,North Atlantic,1.104536
29648,1950,8,21,1200Z,773,BAKER,16.7,-60.0,105,0,H3,North Atlantic,0.7071069999999999
40470,1950,9,14,1800Z,777,FOX,24.6,-59.4,120,0,H4,North Atlantic,0.9486829999999999
43845,1950,9,7,0600Z,775,DOG,29.3,-67.7,140,0,H5,North Atlantic,0.728011
43850,1950,9,8,0600Z,775,DOG,30.9,-67.4,105,0,H3,North Atlantic,0.42426400000000003
48770,1950,8,19,0000Z,772,ABLE,28.9,-75.8,120,0,H4,North Atlantic,1.044031
40425,1950,9,15,1200Z,777,FOX,28.3,-59.7,120,0,H4,North Atlantic,2.376973
48704,1950,8,19,0600Z,772,ABLE,29.9,-76.1,120,0,H4,North Atlantic,1.104536
45586,1950,8,17,0000Z,772,ABLE,25.4,-70.4,100,0,H3,North Atlantic,1.004988
47600,1950,8,20,0600Z,772,ABLE,34.5,-74.8,115,0,H4,North Atlantic,2.758623
24251,1950,10,17,1800Z,782,KING,23.8,-79.3,100,0,H3,North Atlantic,0.984886
48685,1950,8,20,0000Z,772,ABLE,32.8,-75.7,120,0,H4,North Atlantic,1.9235380000000002
51638,1950,9,4,1200Z,776,EASY,27.4,-83.2,110,0,H3,North Atlantic,0.8485280000000001
24246,1950,10,17,1200Z,782,KING,23.0,-79.0,105,0,H3,North Atlantic,0.8544
51631,1950,9,4,0600Z,776,EASY,26.9,-83.2,105,0,H3,North Atlantic,0.5
24243,1950,10,17,0600Z,782,KING,21.9,-78.6,105,955,H3,North Atlantic,1.1704700000000001
47417,1950,8,18,1200Z,772,ABLE,27.5,-74.9,120,0,H4,North Atlantic,0.860233
45785,1950,8,20,1800Z,772,ABLE,37.9,-71.4,105,0,H3,North Atlantic,2.420744
