Name,Date,Time,Status,Latitude,Longitude,Maximum Wind,Moderate Wind SW
               ABLE,19500815,1800, HU,25.5N,67.5W,75,-999
               ABLE,19500816,0, HU,25.7N,68.1W,80,-999
               ABLE,19500816,600, HU,25.7N,68.7W,80,-999
               ABLE,19500816,1200, HU,25.5N,69.3W,80,-999
               ABLE,19500816,1800, HU,25.4N,69.8W,85,-999
               ABLE,19500817,0, HU,25.4N,70.6W,90,-999
               ABLE,19500817,600, HU,25.4N,71.5W,95,-999
               ABLE,19500817,1200, HU,25.5N,72.6W,100,-999
               ABLE,19500817,1800, HU,25.9N,73.3W,100,-999
               ABLE,19500818,1800, HU,28.4N,75.3W,105,-999
               ABLE,19500818,600, HU,27.3N,74.4W,100,-999
               ABLE,19500818,0, HU,26.7N,73.9W,100,-999
               ABLE,19500818,1200, HU,27.9N,74.9W,100,-999
               ABLE,19500819,0, HU,29.1N,75.5W,105,-999
               ABLE,19500819,600, HU,29.9N,75.5W,105,-999
               ABLE,19500819,1200, HU,30.7N,75.5W,105,-999
               ABLE,19500819,1800, HU,31.7N,75.5W,110,-999
               ABLE,19500820,0, HU,32.8N,75.2W,110,-999
               ABLE,19500820,1800, HU,37.6N,71.0W,90,-999
               ABLE,19500820,1200, HU,36.0N,72.7W,100,-999
               ABLE,19500820,600, HU,34.4N,74.3W,105,-999
              BAKER,19500821,1800, HU,17.0N,61.0W,75,-999
               ABLE,19500821,0, HU,39.3N,69.4W,80,-999
              BAKER,19500822,600, HU,16.9N,61.8W,75,-999
              BAKER,19500822,0, HU,17.0N,61.4W,85,-999
            CHARLIE,19500828,1200, HU,25.0N,55.5W,75,-999
            CHARLIE,19500828,1800, HU,26.1N,56.4W,80,-999
              BAKER,19500829,1200, HU,23.9N,88.3W,80,-999
              BAKER,19500829,1800, HU,24.1N,88.4W,85,-999
            CHARLIE,19500829,1800, HU,30.4N,57.5W,90,-999
            CHARLIE,19500829,600, HU,28.3N,57.3W,80,-999
            CHARLIE,19500829,0, HU,27.1N,57.1W,80,-999
              BAKER,19500829,600, HU,23.7N,88.0W,75,-999
            CHARLIE,19500829,1200, HU,29.5N,57.5W,85,-999
                DOG,19500830,1800, HU,15.2N,55.6W,80,-999
            CHARLIE,19500830,1200, HU,32.5N,56.1W,90,-999
            CHARLIE,19500830,600, HU,31.9N,56.6W,90,-999
            CHARLIE,19500830,0, HU,31.2N,57.1W,90,-999
            CHARLIE,19500830,1800, HU,32.8N,56.0W,90,-999
              BAKER,19500830,1200, HU,27.0N,89.0W,90,-999
              BAKER,19500830,600, HU,25.7N,88.8W,90,-999
              BAKER,19500830,1800, HU,28.2N,88.7W,85,-999
              BAKER,19500830,0, HU,24.7N,88.6W,90,-999
                DOG,19500831,600, HU,15.9N,58.1W,100,-999
                DOG,19500831,1200, HU,16.2N,59.2W,110,-999
                DOG,19500831,1800, HU,16.5N,60.1W,115,-999
            CHARLIE,19500831,1800, HU,32.8N,57.3W,95,-999
            CHARLIE,19500831,1200, HU,32.8N,56.7W,95,-999
            CHARLIE,19500831,600, HU,32.8N,56.4W,90,-999
            CHARLIE,19500831,0, HU,32.9N,56.2W,90,-999
              BAKER,19500831,0, HU,29.4N,88.2W,75,-999
              BAKER,19500831,300, HU,30.2N,88.0W,75,-999
              BAKER,19500831,400, HU,30.7N,87.9W,75,-999
