FID,YEAR,MONTH,DAY,AD_TIME,BTID,NAME,LAT,LONG,WIND_KTS,PRESSURE,CAT,BASIN,Shape_Leng
29656,1950,8,31,1200Z,775,DOG,16,-58.7,75,0,H1,North Atlantic,0.921954
29660,1950,8,31,1800Z,775,DOG,16.2,-59.6,80,0,H1,North Atlantic,0.728011
40891,1950,9,1,1200Z,774,CHARLIE,32.9,-59,70,0,H1,North Atlantic,0.509902
24422,1950,10,16,0600Z,782,KING,18.9,-79.1,75,0,H1,North Atlantic,0.806226
24416,1950,10,16,0000Z,782,KING,18.2,-79.6,65,0,H1,North Atlantic,0.860233
54290,1950,10,18,1800Z,784,LOVE,26.7,-92.1,75,0,H1,North Atlantic,0.223607
40895,1950,9,1,1800Z,774,CHARLIE,33,-59.5,75,0,H1,North Atlantic,0.6
22848,1950,9,2,1800Z,776,EASY,21.4,-82.5,65,0,H1,North Atlantic,0.67082
20093,1950,8,29,0600Z,773,BAKER,23.9,-88.6,75,0,H1,North Atlantic,0.583095
28827,1950,8,22,0600Z,773,BAKER,16.6,-61.8,80,0,H1,North Atlantic,0.608276
54292,1950,10,19,0000Z,784,LOVE,26.5,-92.2,75,0,H1,North Atlantic,0.223607
28829,1950,8,22,1200Z,773,BAKER,16.7,-62.4,70,0,H1,North Atlantic,0.707107
29654,1950,8,31,0600Z,775,DOG,15.9,-57.6,70,0,H1,North Atlantic,1.104536
31710,1950,9,11,0000Z,777,FOX,19.9,-51.3,75,0,H1,North Atlantic,0.583095
29640,1950,8,20,1800Z,773,BAKER,16.5,-57.4,65,0,H1,North Atlantic,0.905539
30766,1950,8,31,0000Z,775,DOG,15.7,-56.5,65,0,H1,North Atlantic,1.118034
29643,1950,8,21,0000Z,773,BAKER,16.6,-58.3,80,0,H1,North Atlantic,0.9
45413,1950,9,10,0600Z,775,DOG,30.5,-70.6,80,0,H1,North Atlantic,0.640312
31706,1950,9,10,1800Z,777,FOX,19.5,-50.8,70,0,H1,North Atlantic,0.640312
40897,1950,9,4,0000Z,774,CHARLIE,36.9,-60.1,75,0,H1,North Atlantic,0.72111
31714,1950,9,11,0600Z,777,FOX,20.2,-51.8,80,0,H1,North Atlantic,0.583095
40901,1950,9,4,0600Z,774,CHARLIE,37.3,-59.5,70,0,H1,North Atlantic,0.860233
51451,1950,10,18,1800Z,782,KING,28.6,-81.5,65,0,H1,North Atlantic,1.664332
40889,1950,9,1,0600Z,774,CHARLIE,32.8,-58.6,75,0,H1,North Atlantic,0.412311
40438,1950,10,14,1200Z,781,JIG,28.4,-59.3,80,0,H1,North Atlantic,1.30384
30868,1950,8,28,0600Z,774,CHARLIE,23.4,-54.3,80,0,H1,North Atlantic,1.769181
40268,1950,9,4,1200Z,774,CHARLIE,37.8,-58.8,70,0,H1,North Atlantic,0.921954
40270,1950,9,4,1800Z,774,CHARLIE,38.4,-58.1,65,0,H1,North Atlantic,1.838478
45792,1950,9,11,1800Z,775,DOG,37.9,-71.7,75,0,H1,North Atlantic,1.780449
30863,1950,8,28,0000Z,774,CHARLIE,22,-52.8,70,0,H1,North Atlantic,2.051828
40437,1950,10,14,0600Z,781,JIG,27.6,-58.6,75,0,H1,North Atlantic,1.063015
40434,1950,10,14,0000Z,781,JIG,26.9,-57.8,75,0,H1,North Atlantic,1.063015
41148,1950,9,3,1800Z,774,CHARLIE,36.6,-60.5,80,0,H1,North Atlantic,0.5
39613,1950,10,13,1200Z,781,JIG,25.4,-55.5,65,0,H1,North Atlantic,1.389244
51674,1950,9,6,0600Z,776,EASY,28.2,-82.2,65,0,H1,North Atlantic,0.412311
40885,1950,9,1,0000Z,774,CHARLIE,32.7,-58.2,75,0,H1,North Atlantic,0.412311
54294,1950,10,19,0600Z,784,LOVE,26.3,-92.3,75,0,H1,North Atlantic,0.223607
54297,1950,10,19,1200Z,784,LOVE,26.1,-92.2,80,0,H1,North Atlantic,1.30384
43089,1950,8,21,0600Z,772,ABLE,41.8,-67,65,0,H1,North Atlantic,3.612478
41126,1950,9,2,0000Z,774,CHARLIE,33,-60.1,75,0,H1,North Atlantic,0.608276
