Name,State,Saffir-Simpson,Date of closest approach,Year
,,Category,,
Unnamed,Alabama,Category 3 hurricane,26-Aug,1852
Unnamed,Alabama,Category 1 hurricane,31-Aug,1856
,,,,
Unnamed,Alabama,Category 1 hurricane,16-Sep,1859
Unnamed,Alabama,Category 2 hurricane,12-Aug,1860
Unnamed,Alabama,Category 1 hurricane,16-Sep,1860
Unnamed,Alabama,Category 1 hurricane,30-Jul,1870
Unnamed,Alabama,Category 1 hurricane,10-Sep,1882
,,,,
Unnamed,Alabama,Category 2 hurricane,3-Oct,1893
Unnamed,Alabama,Category 1 hurricane,15-Aug,1901
Unnamed,Alabama,Category 2 hurricane,27-Sep,1906
Unnamed,Alabama,Category 1 hurricane,14-Sep,1912
Unnamed,Alabama,Category 2 hurricane,5-Jul,1916
Unnamed,Alabama,Category 2 hurricane,18-Oct,1916
Unnamed,Alabama,Category 1 hurricane,29-Sep,1917
Unnamed,Alabama,Category 3 hurricane,21-Aug,1926
Unnamed,Alabama,Category 1 hurricane,1-Sep,1932
Baker,Alabama,Category 1 hurricane,31-Aug,1950
Camille,Alabama,Category 1 hurricane,18-Aug,1969
Eloise,Alabama,Category 1 hurricane,23-Sep,1975
,Alabama,,,
Frederic,Alabama,Category 4 hurricane,13-Sep,1979
Elena,Alabama,Category 3 hurricane,2-Sep,1985
Opal,Alabama,Category 1 hurricane,4-Oct,1995
,Alabama,,,
Danny,Alabama,Category 1 hurricane,19-Jul,1997
Ivan,Alabama,Category 3 hurricane,16-Sep,2004
Dennis,Alabama,Category 1 hurricane,10-Jul,2005
,Alabama,,,
Katrina,Alabama,Category 1 hurricane,29-Aug,2005
Unnamed,Conneticut,Category 1 hurricane,16-Sep,1858
,,,,
Unnamed,Conneticut,Category 1 hurricane,8-Sep,1869
,,,,
Unnamed,Conneticut,Category 1 hurricane,24-Aug,1893
,,,,
Unnamed,Conneticut,Category 1 hurricane,10-Oct,1894
Unnamed,,Category 3 hurricane,21-Sep,1938
Unnamed,Conneticut,Category 1 hurricane,15-Sep,1944
,,,,
Carol,Conneticut,Category 3 hurricane,31-Aug,1954
Donna,,Category 1 hurricane,12-Sep,1960
Gloria,Conneticut,Category 1 hurricane,27-Sep,1985
Bob,Conneticut,Category 2 hurricane,19-Aug,1991
,,,,
Unnamed,Delaware,Category 1 hurricane,23-Oct,1878
,,,,
Unnamed,Delaware,Category 1 hurricane,16-Sep,1903
,,,,
d,Florida,Category 3 hurricane,23-Aug,1851
Unnamed,Florida,Category 1 hurricane,26-Aug,1852
Unnamed,Florida,Category 1 hurricane,12-Sep,1852
Unnamed,Florida,Category 2 hurricane,9-Oct,1852
Unnamed,Florida,Category 1 hurricane,8-Sep,1854
Unnamed,Florida,Category 2 hurricane,31-Aug,1856
Unnamed,Florida,Category 1 hurricane,16-Sep,1859
Unnamed,Florida,Category 1 hurricane,28-Oct,1859
Unnamed,Florida,Category 1 hurricane,16-Aug,1861
,,,,
Unnamed,Florida,Category 2 hurricane,23-Oct,1865
Unnamed,Florida,Category 1 hurricane,6-Oct,1867
Unnamed,Florida,Category 1 hurricane,9-Oct,1870
,,,,
Unnamed,Florida,Category 1 hurricane,20-Oct,1870
